eye_distance_px,face_height_px,face_area_ratio,head_tilt_h,head_tilt_v,label
83,169,0.0725,85.2652,0.0236,correct
83,170,0.0729,85.6278,0.0218,correct
83,169,0.0725,85.2652,0.0239,correct
83,170,0.0729,85.6278,0.0232,correct
83,171,0.0733,85.3203,0.0232,correct
84,170,0.0729,85.2929,0.0242,correct
84,170,0.0729,85.6278,0.0239,correct
83,170,0.0729,85.2929,0.0237,correct
83,170,0.0729,85.6278,0.023,correct
84,169,0.0729,85.2652,0.0232,correct
84,169,0.0729,85.2652,0.0232,correct
84,170,0.0724,85.6278,0.0242,correct
84,170,0.0729,85.6278,0.022,correct
84,170,0.0724,85.6278,0.0232,correct
84,170,0.0729,85.6278,0.022,correct
84,170,0.0729,85.2929,0.0241,correct
84,171,0.0733,85.3203,0.0239,correct
84,170,0.0724,85.2929,0.0239,correct
84,171,0.0733,85.3203,0.0247,correct
84,171,0.0728,85.3203,0.0243,correct
84,170,0.0724,85.2929,0.0246,correct
84,171,0.0728,85.3203,0.0249,correct
84,171,0.0733,85.6533,0.0242,correct
84,171,0.0728,85.3203,0.0255,correct
84,171,0.0733,84.9877,0.0244,correct
84,171,0.0728,85.3203,0.0246,correct
84,171,0.0733,85.3203,0.025,correct
84,171,0.0733,85.3203,0.0253,correct
84,171,0.0733,85.3203,0.0236,correct
84,170,0.0728,85.2929,0.0252,correct
84,171,0.0733,84.9877,0.0256,correct
84,171,0.0728,84.9877,0.0241,correct
84,171,0.0728,85.3203,0.0258,correct
84,170,0.0733,84.9583,0.0255,correct
84,171,0.0739,85.3203,0.0247,correct
84,170,0.0728,84.9583,0.0256,correct
83,170,0.0728,84.9583,0.0262,correct
83,171,0.0733,84.9877,0.0237,correct
84,170,0.0733,84.9583,0.0248,correct
84,171,0.0733,84.9877,0.0239,correct
84,170,0.0729,84.9583,0.0245,correct
84,170,0.0729,84.9583,0.023,correct
84,170,0.0729,84.9583,0.0239,correct
84,170,0.0733,84.9583,0.0237,correct
84,169,0.0729,84.9287,0.0242,correct
84,171,0.0739,84.9877,0.0243,correct
84,171,0.0733,84.9877,0.0239,correct
84,170,0.0733,84.9583,0.0251,correct
84,170,0.0729,84.9583,0.0248,correct
84,171,0.0733,85.3203,0.0255,correct
84,169,0.0729,85.2652,0.0245,correct
84,169,0.0725,85.2652,0.0242,correct
84,171,0.0733,85.3203,0.0244,correct
84,170,0.0733,84.9583,0.0264,correct
84,170,0.0729,84.9583,0.0254,correct
84,170,0.0729,85.2929,0.0251,correct
83,170,0.0733,84.9583,0.0253,correct
83,169,0.0725,84.9287,0.0232,correct
83,169,0.0725,84.9287,0.0241,correct
83,170,0.0729,84.9583,0.0242,correct
